Posterior	Likelihood	Prior	diversification[1]	diversification[2]	diversification[3]	diversification[4]	lambda[1]	lambda[2]	lambda[3]	lambda[4]	mu[1]	mu[2]	mu[3]	mu[4]	root_age
10003.980950507008	10332.779038772938	9924.315854133993	10001.00000000004	10001.000000000051	9684.167118765678	10001.000000000024	10032.481831400086	10000.999999999985	10001.000000000024	10000.99999999999	10333.134266798354	8853.720202674069	8653.597656331833	10001.000000000025	10000.99999999998
10001.000000000024	8799.223115938074	10001.000000000007	10867.903368945315	10000.999999999969	10000.999999999985	10000.999999999978	10001.000000000005	10001.000000000056	10000.99999999998	9859.588545914177	10001.000000000007	10000.999999999975	10001.00000000002	10000.99999999996	9887.083071416477
10001.00000000007	10291.230114530164	10441.791764467722	10001.00000000001	10001.000000000015	10000.99999999999	10180.598453574523	10000.999999999976	10001.000000000071	10001.000000000038	11027.302761860828	10001.000000000013	10483.49296798358	10001.000000000011	10000.999999999993	10001.000000000044
10000.999999999989	10001.000000000031	10001.000000000005	8576.99134179859	10000.99999999997	10304.213596534228	10000.99999999995	10000.999999999945	10000.999999999985	10001.000000000024	10000.99999999998	7883.849590216221	10001.000000000016	10001.000000000005	10001.000000000015	10001.000000000056
10340.100485508408	10000.999999999996	10400.190005111073	10396.45110250208	10001.000000000093	10000.999999999993	10353.461790194498	10000.999999999993	10001.000000000002	10000.999999999985	10419.83522333316	10000.99999999997	10001.000000000033	10001.000000000013	9894.429820102388	10001.000000000013
10001.000000000027	10856.52196456736	10001.000000000022	10117.273443958396	9648.298094358794	9678.42794988788	10001	10001	10000.999999999973	10001.000000000013	10001.000000000025	10001.000000000015	10000.999999999995	10001.000000000013	10000.999999999949	10001.000000000015
10001.000000000016	10001.000000000004	10000.999999999978	10000.999999999993	9503.27894665882	10000.999999999985	10001.000000000015	10001.000000000005	10001.000000000031	10001.000000000035	10001.000000000015	10000.999999999984	10000.999999999993	10001.000000000024	10001.000000000016	10001.000000000047
9443.241742228982	10000.999999999987	10000.999999999967	10000.999999999962	10341.026068941674	10001	10000.999999999955	9486.516959477925	10000.999999999985	9652.880386964333	9841.436606590909	9296.087247533691	10000.99999999997	10001.000000000045	9689.181523083611	10001.000000000031
7671.532556149977	10619.287399055667	10001.000000000004	10001	10001.000000000018	10000.999999999975	9887.849664139385	10000.999999999973	10000.999999999984	10001.00000000002	10204.269471502945	10085.704038019257	10595.530866710611	10001.000000000005	9685.628119530418	10000.99999999991
10000.999999999993	10001.000000000051	10001.000000000016	10000.999999999998	10000.999999999976	10001.000000000002	10001.000000000013	10001.00000000001	10001.00000000004	9211.970646555157	9668.760384422229	10000.999999999964	10000.999999999956	10000.99999999999	10001.000000000036	10001.000000000044
10001.000000000005	10001.000000000027	10000.999999999996	10001.000000000051	10001.000000000033	9405.902780114888	10001.000000000025	10000.999999999995	10001.000000000022	10001.000000000036	9320.450710855008	10001.000000000015	10001.000000000036	10000.999999999985	8907.912152998564	10001.000000000027
10000.999999999976	10000.999999999938	9687.72159079488	10000.999999999967	10001.000000000013	10363.093663522219	10000.999999999984	9689.993649992937	10001.00000000007	10001.000000000013	10001.00000000001	10099.004059528239	10000.99999999999	9271.437171299562	10001.00000000001	10106.018894799074
10001.00000000004	9643.006849833857	10000.999999999996	10000.99999999995	10001.000000000055	10000.999999999987	9255.572141834291	10000.999999999935	10000.99999999998	9702.554339708931	10000.999999999953	10001.00000000001	9821.74850101034	10001.00000000003	9575.24622142722	10000.999999999987
10000.999999999975	10000.999999999978	10001.000000000022	10000.99999999997	10000.999999999993	10001.000000000022	10396.5897301974	9696.828065384123	10001.00000000003	10000.999999999949	10353.251578815229	11821.726539808837	10001.00000000001	10306.843634227176	10001.000000000018	10000.999999999993
10000.999999999985	9666.410960004381	10000.999999999964	10000.999999999969	10001.000000000047	10001.000000000002	10001.000000000004	10000.999999999989	10001.00000000005	9650.87940222485	10000.999999999969	10000.999999999976	10001.000000000025	10001.00000000001	9545.661495239001	10001.00000000005
10001.000000000005	10001.000000000027	10001.000000000002	10000.999999999942	9922.676828031259	10001.000000000018	9543.609795727862	10372.684288525254	8710.588958906013	10634.983613591778	10001.000000000013	10001.000000000002	9852.395939052703	10000.999999999985	10001.000000000027	10001.000000000004
10001.000000000022	10001.000000000016	10000.999999999984	10000.999999999982	10132.576069650557	10001.000000000007	10001.00000000003	10001.000000000024	10332.987805228502	10000.99999999997	10001.000000000045	10001	10001.000000000013	10001.00000000002	10000.99999999995	9363.166329825952
10000.99999999999	10001.000000000025	10001.000000000045	10001.000000000016	10000.999999999985	10001.000000000007	9861.94293250796	10001.00000000001	10001	10000.999999999969	9584.020074313528	10001.00000000001	10001.00000000001	10001.00000000003	10001.000000000027	10000.999999999942
10000.999999999978	10000.999999999962	9575.313064061034	9622.927216942655	10296.195280265558	10001.000000000013	10000.999999999973	10671.857612350612	9411.90537239269	9866.074723053529	10001.00000000002	10000.999999999976	9989.921364219133	10000.999999999984	10000.99999999996	10001.00000000002
11438.651457668058	10001.000000000016	10000.999999999965	10001.000000000007	10000.999999999973	10000.999999999947	9467.044511440976	10000.999999999982	10666.48732938505	10000.999999999987	10001.000000000031	10000.999999999995	10000.999999999989	10303.604139297495	10000.999999999993	10001.000000000073
10000.999999999987	10000.999999999975	10001.00000000001	10000.999999999969	10001.000000000024	10316.922027567265	10000.999999999967	10001	10001.000000000011	9384.714367954553	10303.644611310001	10000.999999999985	9637.669498449484	10001.000000000007	10000.999999999996	9630.002610089114
10294.45040326064	10001.000000000013	10000.999999999984	10001.000000000018	10246.366757447704	10001.000000000015	10000.999999999998	10000.999999999965	9569.978117781979	10460.781819879381	10001.000000000018	10001.000000000004	10000.999999999978	10001.000000000022	10001.00000000002	10207.087444068842
10000.999999999984	10000.999999999995	10001.00000000001	9509.581607478758	10000.999999999976	10001.000000000007	10001.00000000001	10001.000000000042	9813.943342188451	10000.999999999978	10001	10001.000000000013	10000.999999999978	10000.999999999996	10000.999999999976	10001.000000000018
10000.999999999996	10001.000000000033	10001.000000000004	10000.999999999965	10000.999999999984	10001.000000000002	10001.000000000045	10001.000000000022	10000.999999999998	10454.035505712058	10000.999999999996	10000.999999999976	10000.999999999989	10001.000000000018	10000.999999999989	9176.684118510895
10001.000000000013	10000.999999999989	10001.000000000002	10000.999999999987	9681.519890575144	10000.999999999985	10000.999999999982	10001.000000000007	10001.000000000055	10362.847630694716	10001.00000000003	10000.999999999962	10001.000000000035	10000.999999999998	9066.013813915568	10001.000000000007
10001.000000000065	10001.000000000051	10001.000000000002	10001.000000000015	10000.999999999976	10001.000000000004	9615.861097062576	10000.999999999976	10001.000000000016	10000.999999999998	10000.999999999965	9586.776390106283	10000.99999999999	10000.99999999999	9299.308708466546	10000.999999999965
